"Property","English","Spanish","German","Japanese","Korean","Chinese (Simplified)","Russian"
"_BackFaceHueShiftEnabled","Hue Shift","<size=13><b>Cambio de tono </b></size>","<size=13><b>Farbtonverschiebung</b></size>","<size=13><b>ぼかしシフト</b></size>","<size=13><b>색조 시프트</b></size>","<size=13><b>色相偏移</b></size>","<size=13><b>Сдвиг тона</b></size>"
"_BackFaceHueShift","Shift","Cambio de tono","Farbtonverschiebung","ぼかしシフト","색조 시프트","色相偏移","Сдвиг"
"_BackFaceHueShiftSpeed","Shift Speed","Velocidad del cambio","Farbtonverschiebungsgeschwindigkeit","ぼかしシフト速度","색조 시프트 속도","偏移速度","Скорость Сдвига"
"_RGBMaskEnabled","RGB Mask Enabled","Activar Máscara RGB","RGB-Maske aktiviert","RGB マスク有効","RGB 마스크 활성화됨","启用 RGB 遮罩","RGB Маска Включена"
"_RGBUseVertexColors","Use Vertex Colors","Usar colores de vértices","Verwenden Sie Scheitelpunktfarben","頂点カラーを使用","버텍스 색상 사용","使用顶点颜色","Использовать Цвета Вершин"
"_RGBBlendMultiplicative","Multiplicative","Multiplicativo","Multiplikativ","乗算合成","곱하기","正片叠底 (Multiplicative)","Мультипликативное"
"_RGBMask","Masks [Click to Expand]","Máscara RGB","Maske","マスク","마스크","RGB 遮罩","Маски [Нажмите чтобы развернуть]"
"_RGBMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_RGBMaskUV","UV","UV","UV","UV","UV","UV","UV"
"m_start_RGBAColors","RGBA Colors","Colores RGBA","Farben","色","색상","RGBA 颜色","Цвета RGBA"
"_RedColor","Color","Color del canal R","R-Farbe","R カラー","R 색상","R 通道颜色","Цвет R"
"_RedTexture","Texture","Textura del canal R","R-Textur","R テクスチャ","R 텍스처","R 通道纹理","Текстура R"
"_RedTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_RedTextureUV","UV","UV","UV","UV","UV","UV","UV"
"_RedTextureStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样","Стохастическая Выборка"
"_RedAlphaAdd","Alpha Add","Suma alfa del canal R","R Alpha-Add","Rアルファ追加","R 알파 추가","R Alpha 添加","Добавление Альфы R"
"_GreenColor","Color","Color del canal G","G-Farbe","G カラー","G 색상","G 通道颜色","Цвет G"
"_GreenTexture","Texture","Textura del canal G","G-Textur","G テクスチャ","G 텍스처","G 通道纹理","Текстура G"
"_GreenTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_GreenTextureUV","UV","UV","UV","UV","UV","UV","UV"
"_GreenTextureStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样","Стохастическая Выборка"
"_GreenAlphaAdd","Alpha Add","Suma alfa del canal G","G-Alpha-Add","G アルファ追加","G 알파 추가","G Alpha 添加","Добавление Альфы G"
"_BlueColor","Color","Color del canal B","B-Farbe","B カラー","B 색상","B 通道颜色","Цвет B"
"_BlueTexture","Texture","Textura del canal B","B-Textur","B テクスチャー","B 텍스처","B 通道纹理","Текстура B"
"_BlueTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_BlueTextureUV","UV","UV","UV","UV","UV","UV","UV"
"_BlueTextureStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样","Стохастическая Выборка"
"_BlueAlphaAdd","Alpha Add","Suma alfa del canal B","B Alpha-Add","Bアルファ加算","B 알파 추가","B Alpha 添加","Добавление Альфы B"
"_AlphaColor","Color","Color del canal A","Eine Farbe","A カラー","A 색상","A 通道颜色","Цвет A"
"_AlphaTexture","Texture","Textura del canal A","Eine Textur","テクスチャ","A 텍스처","A 通道纹理","Текстура A"
"_AlphaTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_AlphaTextureUV","UV","UV","UV","UV","UV","UV","UV"
"_AlphaTextureStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样","Стохастическая Выборка"
"_AlphaAlphaAdd","Alpha Add","Suma alfa del canal A","Ein Alpha-Add","アルファ追加","A 알파 추가","A Alpha 添加","Добавление Альфы A"
"m_start_rgbanormals","RGBA Normals","Normales RGBA","Normale","ノーマル(法線)","노멀","RGBA 法线","RGBA Нормали"
"_RGBNormalBlend","RGBA Normal Blend","Mezclar con la base","Mit Base verblenden","ベースとブレンド","베이스와 블렌드","与基础混合","Смешивание RGBA Нормалей"
"_RgbNormalR","Normal","Normal del canal R","R Normal","Rノーマル","R 노멀","R 通道法线","Нормаль R"
"_RgbNormalRPan","Pan","Barrido","Pfanne","パン","팬","平移","Прокрутка"
"_RgbNormalRUV","UV","UV","UV","UV","UV","UV","UV"
"_RgbNormalRStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样","Стохастическая Выборка"
"_RgbNormalRScale","Normal Intensity","Intensidad","Intensität","強さ","강도","强度","Интенсивность Нормали"
"_RgbNormalG","Normal","Normal del canal G","G Normal","Gノーマル","G 노멀","G 通道法线","Нормаль G"
"_RgbNormalGPan","Pan","Barrido","Pfanne","パン","팬","平移","Прокрутка"
"_RgbNormalGUV","UV","UV","UV","UV","UV","UV","UV"
"_RgbNormalGStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样","Стохастическая Выборка"
"_RgbNormalGScale","Normal Intensity","Intensidad","Intensität","強さ","강도","强度","Интенсивность Нормали"
"_RgbNormalB","Normal","Normal del canal B","B Normal","Bノーマル","B 노멀","B 通道法线","Нормаль B"
"_RgbNormalBPan","Pan","Barrido","Pfanne","パン","팬","平移","Прокрутка"
"_RgbNormalBUV","UV","UV","UV","UV","UV","UV","UV"
"_RgbNormalBStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样","Стохастическая Выборка"
"_RgbNormalBScale","Normal Intensity","Intensidad","Intensität","強さ","강도","强度","Интенсивность Нормали"
"_RgbNormalA","Normal","Normal del canal A","Ein normaler","Aノーマル","A 노멀","A 通道法线","Нормаль A"
"_RgbNormalAPan","Pan","Barrido","Pfanne","パン","팬","平移","Прокрутка"
"_RgbNormalAUV","UV","UV","UV","UV","UV","UV","UV"
"_RgbNormalAStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样","Стохастическая Выборка"
"_RgbNormalAScale","Normal Intensity","Intensidad","Intensität","強さ","강도","强度","Интенсивность Нормали"
"m_start_DecalSection","Decals","Calcomanías","Abziehbilder","デカール","데칼","贴花 (Decals)","Декали"
"_DecalMask","RGBA Mask [Click to Expand]","Máscara de calcomanías (RGBA)","Aufkleber RGBA-Maske","デカール RGBA マスク","데칼 RGBA 마스크","贴花遮罩 (RGBA)","RGBA Маска [Нажмите чтобы развернуть]"
"_DecalTPSDepthMaskEnabled","<size=13><b>  TPS Depth Enabled</b></size>","<size=13><b>Máscara de profundidad TPS activada </b></size>","<size=13><b> TPS-Tiefe aktiviert</b></size>","<size=13><b>TPS 深度有効</b></size>","<size=13><b>TPS 깊이 활성화됨</b></size>","<size=13><b>启用 TPS 深度遮罩</b></size>","<size=13><b>Глубина TPS Включена</b></size>"
"_Decal0TPSMaskStrength","Mask r Strength","Intensidad de la máscara (Canal R)","Maske r Stärke","マスク R 強さ","마스크 R 강도","遮罩 R 强度","Сила Маски R"
"_Decal1TPSMaskStrength","Mask g Strength","Intensidad de la máscara (Canal G)","Maske g Stärke","マスク G 強さ","마스크 G 강도","遮罩 G 强度","Сила Маски G"
"_Decal2TPSMaskStrength","Mask b Strength","Intensidad de la máscara (Canal B)","Maske b Stärke","マスク B 強さ","마스크 B 강도","遮罩 B 强度","Сила Маски B"
"_Decal3TPSMaskStrength","Mask a Strength","Intensidad de la máscara (Canal A)","Maskiere eine Stärke","マスク A 強さ","마스크 A 강도","遮罩 A 强度","Сила Маски A"
"m_start_Decal0","Decal 0","Calcomanía 0","Aufkleber 0","デカール 0","데칼 0","贴花 0","Декаль 0"
"_DecalEnabled","Enable","Activar calcomanía","Aktivieren","有効","활성화","启用贴花","Включить"
"_Decal0MaskChannel","Mask Channel","Canal de máscara","Maskenkanal","マスクチャンネル","마스크 채널","遮罩通道","Канал Маски"
"_Decal0GlobalMask","Apply From Global Mask","Máscara global","Globale Maske","グローバル マスク","글로벌 마스크","全局遮罩","Применить из Глобальной Маски"
"_Decal0GlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型","Смешивание"
"_DecalColor","Color","Color","Farbe","色","색상","颜色","Цвет"
"_DecalEmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","発光の強さ","방출 강도","发光强度","Сила Свечения"
"_DecalTexture","Decal","Textura","Abziehbild","デカール","데칼","贴花纹理","Декаль"
"_DecalTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_DecalTextureUV","UV","UV","UV","UV","UV","UV","UV"
"_DecalTiled","Tiled","Calcomanía en mosaico","Gefliest","タイル表示","타일링","平铺","Мозаика"
"_Decal0Depth","Depth","Profundidad","Tiefe","深さ","깊이","深度","Глубина"
"_DecalScale","Scale","Escala","Skala","規模","스케일","缩放","Масштаб"
"_DecalSideOffset","Side Offset","Desplazamiento lateral","Seitenversatz","サイドオフセット","측면 오프셋","侧面偏移","Боковое Cмещение"
"_DecalPosition","Position","Posición","Position","位置","위치","位置","Позиция"
"_DecalRotation","Rotation","Rotación","Drehung","回転","회전","旋转","Вращение"
"_DecalRotationSpeed","Rotation Speed","Velocidad de rotación","Drehgeschwindigkeit","回転速度","회전 속도","旋转速度","Скорость Ротации"
"_DecalBlendType","Color Blend Mode","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型","Режим Смешивания Цвета"
"_DecalBlendAlpha","Alpha","Alfa","Alpha","アルファ","알파","Alpha","Альфа"
"_DecalOverrideAlpha","Alpha Blend Mode","Anular alfa","Alpha überschreiben","アルファを無視する","알파 덮어쓰기","覆盖 Alpha","Режим Смешивания Альфы"
"_Decal0ApplyGlobalMaskIndex","Apply to Global Mask","Aplicar a la máscara global","Bewerben Sie sich bei Global Mask","グローバルマスクに適用","글로벌 마스크에 적용","应用到全局遮罩","Применить к Глобальной Маске"
"_Decal0ApplyGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型","Смешивание"
"_DecalHueShiftEnabled","Hue Shift","<size=13><b>Cambio de tono </b></size>","<size=13><b>Farbtonverschiebung</b></size>","<size=13><b>ぼかしシフト</b></size>","<size=13><b>색조 시프트</b></size>","<size=13><b>色相偏移</b></size>","<size=13><b>Сдвиг Тона</b></size>"
"_DecalHueShiftSpeed","Shift Speed","Velocidad del cambio","Schaltgeschwindigkeit","シフトスピード","시프트 속도","偏移速度","Скорость Сдвига"
"_DecalHueShift","Hue Shift","Cambio de tono","Farbtonverschiebung","ぼかしシフト","색조 시프트","色相偏移","Сдвиг Тона"
"_Decal0HueAngleStrength","Hue Angle Power","Intensidad del tono por ángulo","Farbwinkelleistung","角のぼかしの強さ","색조 각도 강도","角度色相强度","Сила Угла Оттенка"
"_Decal0ChannelSeparationEnable","Chromatic Aberration","<size=13><b>Separación de canales </b></size>","<size=13><b>Kanaltrennung</b></size>","<size=13><b>チャンネル分離</b></size>","<size=13><b>채널 분리</b></size>","<size=13><b>通道分离</b></size>","Хроматическая Аберрация"
"_Decal0ChannelSeparation","Intensity","Separación","Intensität","強さ","강도","分离强度","Интенсивность"
